lat,lon,altitud,tierra,anom_altitud,residuo,sospechoso,wrf_tx_medio,wrf_tx_p90,wrf_tx_max,wrf_n_ge32,wrf_n_ge35,wrf_n_ge38,wrf_hx_medio,wrf_hx_p90,wrf_n_hx35,anom_tx_medio,anom_tx_p90,anom_hx_p90,tx_p99_1km,tx_verano_1km,hx_p99_1km,nota
43.0495,-9.2133,174.4,1,38.7,-0.34,0,22.92,26.55,33.01,1,0,0,27.58,31.6,6,-0.6,-0.53,-0.66,24.63,19.54,29.94,-2.4477776464737975
43.3267,-8.8412,12.0,1,-37.3,-0.75,0,22.09,24.99,30.02,0,0,0,27.08,30.26,1,-0.51,-0.77,-0.77,24.34,19.7,30.33,-2.4367781742921633
43.0492,-9.2256,210.2,1,71.4,-0.19,0,22.72,26.37,32.71,1,0,0,27.36,31.56,4,-0.65,-0.55,-0.58,24.61,19.49,30.02,-2.435598264179334
43.0854,-9.2148,57.0,1,-39.7,-0.45,0,23.18,26.43,33.47,1,0,0,28.06,31.48,7,-0.2,-0.4,-0.55,24.54,19.78,30.13,-2.429531811973354
43.0392,-9.2745,74.2,1,-40.2,-0.65,0,22.72,25.75,30.85,0,0,0,27.72,31.54,3,-0.4,-0.7,-0.37,24.46,19.74,30.23,-2.4281290173920955
43.2986,-8.902,88.0,1,8.8,-0.37,0,22.5,25.36,30.73,0,0,0,27.41,30.82,3,-0.43,-0.81,-0.65,24.3,19.78,30.45,-2.4210220887207985
43.0318,-9.2003,153.8,1,23.1,-0.24,0,23.62,27.26,33.54,2,0,0,28.32,32.12,6,-0.39,-0.37,-0.71,24.79,19.75,29.89,-2.4183231893204518
43.0585,-9.2137,150.5,1,23.6,-0.37,0,22.88,26.64,32.9,1,0,0,27.54,31.51,5,-0.53,-0.28,-0.61,24.66,19.45,30.07,-2.412279976055723
43.0405,-9.213,171.1,1,38.1,-0.31,0,23.13,26.81,33.1,2,0,0,27.8,31.84,6,-0.56,-0.43,-0.6,24.73,19.58,30.0,-2.4097437492441403
43.2887,-8.9511,55.2,1,-35.9,-0.69,0,22.04,24.77,28.8,0,0,0,26.97,30.43,0,-0.47,-0.81,-0.58,24.3,19.74,30.52,-2.405967400440063
43.0675,-9.2141,120.9,1,2.4,-0.53,0,22.82,26.52,32.97,1,0,0,27.54,31.59,5,-0.55,-0.34,-0.46,24.6,19.43,30.22,-2.395097856961849
43.7072,-8.0332,96.3,1,-88.5,-1.35,0,22.06,25.71,30.53,0,0,0,26.82,30.66,6,-0.78,-1.66,-1.72,24.45,19.93,30.4,-2.3940806194377844
43.1674,-9.1687,63.4,1,-9.6,-0.26,0,22.62,25.49,30.47,0,0,0,27.4,30.71,3,-0.2,-0.26,-0.49,24.68,19.78,30.19,-2.3814459632623715
42.9593,-9.222,160.4,1,56.2,-0.1,0,23.74,27.19,33.41,4,0,0,28.42,32.78,7,-0.47,-0.45,-0.42,24.71,19.67,30.18,-2.3760576694057685
43.0402,-9.2253,186.4,1,51.4,-0.15,0,23.06,26.64,32.73,1,0,0,27.78,31.9,5,-0.48,-0.44,-0.43,24.72,19.66,30.17,-2.375695351289828
43.0487,-9.2502,118.1,1,-21.5,-0.35,0,22.87,26.14,32.0,1,0,0,27.69,31.47,6,-0.22,-0.44,-0.42,24.72,19.92,30.18,-2.3735446815354377
43.0228,-9.2,134.4,1,5.6,-0.28,0,23.87,27.42,33.52,2,0,0,28.65,32.61,8,-0.33,-0.39,-0.41,24.72,19.78,30.21,-2.367092672272265
42.9876,-9.1617,294.0,1,90.8,-0.51,0,23.34,27.08,33.34,4,0,0,27.71,32.01,7,-1.1,-1.08,-1.29,24.84,19.34,30.07,-2.3670461943897605
43.0764,-9.2144,88.6,1,-19.8,-0.54,0,22.95,26.41,32.99,1,0,0,27.74,31.87,5,-0.42,-0.43,-0.17,24.51,19.56,30.51,-2.3553453249174967
43.0302,-9.2741,91.8,1,-10.3,-0.7,0,22.69,26.24,31.34,0,0,0,27.64,31.81,5,-0.64,-0.44,-0.33,24.72,19.5,30.27,-2.3541886537459202
43.1597,-9.1068,127.5,1,23.2,-0.44,0,22.67,26.48,31.13,0,0,0,27.44,31.24,4,-0.6,-0.23,-0.74,24.83,19.46,30.17,-2.348052484716184
43.0577,-9.2506,73.2,1,-59.5,-0.49,0,22.82,26.04,31.71,0,0,0,27.71,31.46,6,-0.11,-0.34,-0.2,24.6,19.87,30.48,-2.339180443347688
43.5599,-8.3155,3.8,1,-18.9,-0.99,0,22.31,25.29,30.11,0,0,0,27.29,30.68,1,-0.88,-1.33,-1.58,24.49,19.67,30.64,-2.3324125938510796
43.3449,-8.8294,0.1,1,-26.2,-0.57,0,21.86,24.75,29.17,0,0,0,26.85,30.08,0,-0.4,-0.49,-0.59,24.62,19.81,30.51,-2.327702458343853
43.0497,-9.201,146.4,1,10.1,-0.24,0,23.35,26.89,33.41,3,0,0,28.03,32.12,6,-0.31,-0.35,-0.31,24.81,19.83,30.29,-2.3272704234041575
43.3269,-8.8288,18.1,1,-30.7,-0.57,0,22.21,24.99,29.74,0,0,0,27.13,30.56,3,-0.37,-0.75,-0.48,24.45,19.88,30.74,-2.320957847788497
42.9591,-9.2343,158.9,1,62.1,0.05,0,23.74,27.24,33.04,3,0,0,28.43,32.87,7,-0.35,-0.31,-0.29,24.85,19.79,30.31,-2.3129171324140505
43.2714,-8.9134,138.8,1,52.4,-0.38,0,22.6,25.99,32.29,1,0,0,27.35,31.15,4,-0.72,-0.76,-0.9,24.64,19.53,30.58,-2.3076217943224555
43.0225,-9.2122,138.1,1,17.4,-0.0,0,23.97,27.42,33.57,3,0,0,28.76,32.54,8,-0.12,-0.23,-0.35,24.93,20.02,30.25,-2.3057172479777455
43.0669,-9.2387,183.4,1,59.9,0.1,0,22.76,26.2,33.09,1,0,0,27.45,31.66,5,-0.29,-0.31,-0.06,24.63,19.69,30.62,-2.3015321031752234
43.2894,-8.914,75.0,1,-12.5,-0.25,0,22.77,25.63,30.69,0,0,0,27.64,31.06,4,-0.17,-0.56,-0.45,24.58,20.03,30.68,-2.3011930240005354
43.041,-9.1884,136.8,1,3.1,-0.24,0,23.7,27.19,33.73,3,0,0,28.4,32.41,9,-0.26,-0.42,-0.41,24.82,19.88,30.4,-2.3011000682355274
42.986,-9.2354,112.6,1,12.2,0.1,0,24.13,27.2,32.91,4,0,0,28.97,32.78,10,0.02,-0.31,-0.21,24.85,20.16,30.39,-2.2957117743789235
43.0304,-9.2618,140.6,1,28.4,-0.32,0,22.89,26.58,32.28,1,0,0,27.73,31.92,5,-0.51,-0.22,-0.3,24.94,19.63,30.3,-2.292450911335459
42.9879,-9.1494,296.4,1,63.8,-0.64,0,23.4,27.12,33.35,4,0,0,27.76,32.06,8,-1.05,-1.15,-1.23,24.95,19.45,30.31,-2.2877872537107384
43.032,-9.188,118.7,1,-14.8,-0.39,0,23.84,27.45,34.0,2,0,0,28.57,32.56,7,-0.3,-0.34,-0.45,24.93,19.86,30.35,-2.284210550433837
42.9868,-9.1985,114.2,1,-33.0,-0.44,0,24.17,27.57,33.69,4,0,0,28.89,33.19,9,-0.23,-0.37,-0.08,24.79,19.91,30.52,-2.282830994793832
42.9873,-9.1739,257.7,1,75.8,-0.06,0,23.88,27.16,33.46,5,0,0,28.39,32.59,8,-0.55,-0.92,-0.69,24.82,19.82,30.49,-2.28174404044601
43.1676,-9.1564,103.3,1,23.5,0.05,0,22.75,25.63,31.28,0,0,0,27.5,31.29,5,-0.11,-0.27,0.0,24.67,19.87,30.68,-2.2785761331675536
42.9596,-9.2097,98.1,1,-19.0,-0.38,0,24.09,27.71,33.84,5,0,0,28.76,32.98,9,-0.27,-0.12,-0.35,25.04,19.87,30.25,-2.2780743814041013
42.9786,-9.1613,270.3,1,60.2,-0.64,0,23.46,27.06,33.46,4,0,0,27.84,32.26,6,-1.03,-1.14,-1.08,24.91,19.47,30.43,-2.2720311681393737
43.1692,-9.0825,167.5,1,56.0,0.01,0,23.01,26.42,32.04,1,0,0,27.73,31.77,5,-0.36,-0.56,-0.46,24.7,19.74,30.76,-2.253831811521433
42.9688,-9.1978,103.3,1,-37.6,-0.3,0,24.46,28.04,34.27,4,0,0,29.13,33.14,9,-0.06,-0.01,-0.34,25.15,20.08,30.26,-2.2482808450760667
43.0217,-9.2491,125.2,1,16.3,-0.09,0,23.45,27.03,33.5,2,0,0,28.26,32.18,7,-0.2,-0.05,-0.29,25.11,19.94,30.31,-2.247579447785438
43.5512,-8.2905,7.9,1,-64.2,-1.01,0,22.92,26.26,30.0,0,0,0,27.94,31.55,3,-0.6,-1.02,-1.37,24.76,19.92,30.73,-2.245205893562618
43.1689,-9.0948,121.2,1,9.8,-0.17,0,22.97,26.53,32.44,1,0,0,27.72,31.78,6,-0.24,-0.23,-0.19,24.8,19.83,30.69,-2.243756621098856
43.3139,-8.5317,46.2,1,-11.2,-1.45,0,22.75,26.09,29.77,0,0,0,27.61,31.2,2,-1.38,-1.94,-1.69,24.6,19.36,30.94,-2.240249634645711
42.931,-9.2823,38.4,1,-20.3,-0.48,0,23.23,26.89,32.51,1,0,0,28.17,32.89,9,-0.36,-0.28,0.03,24.88,19.78,30.63,-2.2365567366625516
43.1784,-9.0705,99.4,1,-16.3,-0.43,0,23.08,26.51,31.23,0,0,0,27.87,32.04,6,-0.33,-0.54,-0.33,24.69,19.78,30.86,-2.2348381018478567
43.0394,-9.2622,110.5,1,-16.6,-0.31,0,22.94,26.31,32.27,1,0,0,27.85,31.93,6,-0.21,-0.23,-0.02,24.93,19.93,30.58,-2.234745146082849
43.2991,-8.8773,62.8,1,-6.6,-0.44,0,22.54,25.8,31.82,0,0,0,27.31,30.93,4,-0.4,-0.32,-0.54,24.88,19.84,30.64,-2.2344060669081607
43.0397,-9.2499,142.2,1,11.6,-0.04,0,23.08,26.49,32.56,1,0,0,27.91,31.89,5,-0.12,-0.15,-0.1,25.01,20.02,30.5,-2.231846601155325
43.2795,-8.9631,89.1,1,0.4,-0.4,0,21.99,25.04,29.98,0,0,0,26.83,30.61,3,-0.41,-0.38,-0.27,24.73,19.8,30.83,-2.2312381596297044
43.1504,-9.1187,89.2,1,-6.9,-0.2,0,23.29,26.55,31.73,0,0,0,28.11,31.91,6,-0.17,-0.29,-0.2,24.8,19.89,30.75,-2.2308526025725115
42.4614,-8.9339,9.7,1,-16.8,-3.94,0,20.24,23.12,29.48,0,0,0,24.84,28.37,0,-3.83,-4.55,-4.38,25.32,19.23,30.15,-2.2292174185787346
43.2927,-8.7288,34.2,1,-111.9,-1.0,0,22.05,25.22,30.25,0,0,0,27.0,30.69,2,-0.28,-1.14,-0.74,24.62,20.16,30.97,-2.2287716496418772
41.9407,-8.8794,168.2,1,4.3,-2.15,0,24.07,28.35,33.91,7,0,0,28.28,32.8,7,-2.18,-2.61,-2.04,24.84,19.61,30.72,-2.2272526603543596
42.9773,-9.2227,194.5,1,86.2,0.33,0,24.15,27.77,33.63,4,0,0,28.74,33.17,10,-0.23,-0.08,-0.15,25.08,19.91,30.45,-2.2250090348349607
43.1781,-9.0828,81.1,1,-31.3,-0.3,0,23.1,26.67,31.6,0,0,0,27.94,31.9,5,-0.1,-0.13,-0.16,24.88,19.97,30.69,-2.2236527181362065
43.049,-9.2379,202.8,1,63.6,0.44,0,23.24,26.72,33.68,2,0,0,27.79,31.8,6,0.02,-0.03,-0.2,25.13,20.16,30.4,-2.223197444255259
43.6981,-8.0455,175.4,1,35.5,-1.06,0,21.97,26.58,32.98,3,0,0,26.6,31.42,8,-1.3,-1.21,-1.45,24.9,19.41,30.67,-2.2229280819043256
41.9497,-8.8797,239.5,1,30.9,-1.97,0,23.86,27.96,33.41,3,0,0,28.23,32.68,6,-2.18,-2.72,-1.89,24.73,19.61,30.87,-2.2226354806121407
43.031,-9.2372,141.6,1,20.6,0.09,0,23.51,26.91,32.94,2,0,0,28.32,32.28,7,-0.05,-0.12,-0.09,25.04,20.09,30.51,-2.2221569677899407
41.7339,-8.8724,22.6,1,-155.0,-2.57,0,23.17,26.48,33.29,1,0,0,27.73,31.05,3,-1.58,-2.65,-1.96,24.8,20.21,30.8,-2.2200992538005577
43.105,-9.1416,134.1,1,28.5,-0.28,0,23.41,26.62,34.02,1,0,0,28.18,32.06,7,-0.47,-0.72,-0.54,24.8,19.67,30.8,-2.2200992538005577
42.9863,-9.2231,157.3,1,48.9,0.39,0,24.4,27.86,33.97,5,0,0,29.04,32.93,12,0.06,0.07,-0.3,25.23,20.2,30.3,-2.2195742630958533
43.0307,-9.2495,136.6,1,19.4,-0.06,0,23.28,26.87,32.89,2,0,0,28.1,32.1,6,-0.19,-0.03,-0.17,25.13,19.95,30.43,-2.2167454349920863
43.05,-9.1887,130.9,1,-1.2,-0.14,0,23.7,27.24,33.85,3,0,0,28.43,32.43,7,-0.14,-0.21,-0.23,25.01,19.99,30.58,-2.214641243120199
43.2921,-8.7658,86.9,1,-47.6,-0.78,0,22.02,25.71,32.14,1,0,0,26.88,30.67,3,-0.47,-0.74,-0.91,24.91,19.93,30.7,-2.213963084770822
43.0212,-9.2737,62.9,1,-32.9,-0.49,0,23.17,26.57,32.46,1,0,0,28.19,32.4,7,-0.29,-0.24,0.1,24.92,19.85,30.7,-2.2114500969004904
43.1604,-9.0698,176.6,1,53.4,-0.35,0,22.92,26.55,31.9,0,0,0,27.62,31.53,7,-0.7,-0.77,-1.05,24.9,19.47,30.73,-2.210024063377981
43.2804,-8.9137,128.4,1,39.6,-0.31,0,22.54,25.82,31.12,0,0,0,27.31,31.4,4,-0.57,-0.63,-0.34,24.67,19.66,31.01,-2.2076040312726564
43.5511,-8.3029,8.9,1,-44.8,-0.85,0,22.89,26.34,30.43,0,0,0,27.82,31.36,3,-0.57,-0.74,-1.44,25.0,19.94,30.63,-2.2064008822185763
43.04,-9.2376,182.2,1,49.6,0.16,0,23.17,26.74,32.41,2,0,0,27.9,32.07,5,-0.17,-0.07,-0.05,25.09,19.97,30.55,-2.200989349420721
43.3081,-8.8776,55.4,1,-10.7,-0.18,0,22.72,25.94,31.1,0,0,0,27.41,30.71,3,-0.11,-0.04,-0.59,25.1,20.11,30.55,-2.1984763615503895
43.1599,-9.0944,125.3,1,15.3,-0.31,0,22.93,26.48,31.33,0,0,0,27.72,31.66,5,-0.42,-0.39,-0.47,24.9,19.68,30.79,-2.1971200448516366
43.3092,-8.8159,75.8,1,0.8,-0.38,0,22.23,25.47,29.51,0,0,0,27.18,30.75,2,-0.39,-0.44,-0.5,24.89,19.91,30.81,-2.195331693213186
43.2806,-8.9014,81.6,1,-5.1,-0.35,0,22.83,25.96,32.53,1,0,0,27.61,31.44,6,-0.33,-0.59,-0.39,24.74,19.92,30.99,-2.194314455689121
43.1489,-9.1927,48.6,1,10.0,0.1,0,22.42,25.04,30.89,0,0,0,27.35,30.54,3,0.03,0.07,0.0,25.01,20.01,30.68,-2.1931345455762905
41.9317,-8.8791,166.6,1,48.2,-2.17,0,23.87,28.78,34.69,6,0,0,28.01,32.82,10,-2.49,-2.34,-2.19,25.11,19.3,30.57,-2.1916620341712774
42.9681,-9.2347,168.1,1,65.0,0.39,0,24.19,27.63,33.67,4,0,0,28.84,33.31,12,-0.04,-0.1,0.03,25.06,20.1,30.63,-2.1913229549965894
42.977,-9.235,138.1,1,35.4,0.39,0,24.38,27.67,33.72,5,0,0,29.09,33.17,14,0.16,-0.03,-0.04,25.13,20.3,30.56,-2.188786728185006
43.2919,-8.7782,111.0,1,-14.2,-0.58,0,22.1,25.72,32.39,1,0,0,26.94,30.86,5,-0.49,-0.69,-0.74,24.92,19.89,30.84,-2.181340720339019
43.1694,-9.0701,179.8,1,62.3,-0.24,0,22.88,26.42,31.81,0,0,0,27.48,32.01,6,-0.64,-0.77,-0.47,24.72,19.5,31.09,-2.1778337338858753
43.3179,-8.8285,52.3,1,-6.2,-0.33,0,22.34,25.35,29.72,0,0,0,27.29,30.98,1,-0.3,-0.48,-0.2,24.77,19.96,31.05,-2.173871473551782
43.0223,-9.2245,113.3,1,-4.0,0.02,0,24.01,27.51,33.67,3,0,0,28.83,32.79,9,0.04,0.01,-0.01,25.17,20.18,30.59,-2.1722827674405076
43.0852,-9.2271,63.4,1,-33.9,-0.2,0,23.25,26.84,32.65,1,0,0,28.1,31.87,9,0.01,0.17,-0.01,25.11,19.99,30.67,-2.170155336627369
42.995,-9.2357,80.2,1,-20.6,0.03,0,24.23,27.56,33.2,4,0,0,29.14,32.87,10,0.16,0.09,-0.05,25.25,20.3,30.55,-2.160781543495421
43.0408,-9.2007,161.8,1,26.6,0.18,0,23.82,27.57,34.14,3,0,0,28.44,32.5,7,0.0,0.15,-0.11,25.31,20.14,30.49,-2.158607634799779
43.2792,-8.9755,74.5,1,0.1,-0.1,0,22.15,24.96,30.26,0,0,0,26.95,30.48,2,-0.11,-0.14,-0.21,24.97,20.1,30.89,-2.158022432215409
43.2622,-8.9254,169.4,1,95.0,-0.12,0,22.53,26.2,30.92,0,0,0,27.27,31.15,5,-0.74,-0.42,-0.8,25.06,19.51,30.79,-2.1569122389263367
42.9503,-9.2217,99.7,1,1.0,0.09,0,24.19,27.44,34.26,4,0,0,28.93,33.28,11,0.08,-0.08,0.18,25.08,20.22,30.78,-2.1540369329400644
42.9966,-9.162,261.2,1,68.7,0.11,0,24.09,27.64,34.59,6,0,0,28.47,32.67,8,-0.34,-0.52,-0.62,25.26,20.03,30.59,-2.1496658766075263
41.7609,-8.8733,34.8,1,-169.1,-2.49,0,23.0,26.37,33.28,1,0,0,27.51,30.65,2,-1.4,-2.38,-1.93,25.07,20.39,30.83,-2.1457965720384413
43.0135,-9.2119,109.1,1,-9.8,0.02,0,24.31,27.85,33.74,4,0,0,29.14,33.11,11,0.08,0.07,0.08,25.23,20.22,30.68,-2.137848812429003
43.2837,-8.7285,109.2,1,-47.1,-0.99,0,21.82,25.75,31.28,0,0,0,26.55,30.86,4,-0.69,-0.93,-0.84,24.95,19.78,31.01,-2.137240370903382
42.94,-9.2827,22.2,1,-42.5,-0.42,0,23.47,27.11,32.29,1,0,0,28.45,33.13,10,-0.15,-0.06,0.24,25.1,19.99,30.84,-2.1361069386730565
43.0944,-9.2151,32.1,1,-44.8,-0.15,0,23.29,26.45,32.69,1,0,0,28.21,32.06,5,0.13,0.0,0.36,24.94,20.11,31.04,-2.133301349510541
43.6983,-8.033,133.1,1,-41.2,-0.94,0,22.45,26.35,32.22,1,0,0,27.11,31.9,10,-0.68,-1.37,-0.84,24.74,20.03,31.28,-2.131945032811787
43.3127,-8.6058,93.3,1,-21.3,-0.84,0,22.15,25.7,29.85,0,0,0,26.94,30.76,1,-0.71,-1.13,-1.11,24.99,19.86,31.01,-2.1271884194220574
42.9778,-9.1982,121.4,1,-23.5,-0.07,0,24.56,28.1,34.29,6,0,0,29.14,33.49,12,0.08,0.09,0.11,25.25,20.22,30.71,-2.126370827425168
43.3032,-8.6426,62.6,1,-49.2,-0.84,0,22.48,25.57,29.64,0,0,0,27.44,30.9,2,-0.53,-1.05,-0.93,24.96,20.0,31.05,-2.1261247040154876
43.0775,-9.1652,108.1,1,-10.1,-0.28,0,23.81,27.3,33.32,2,0,0,28.62,32.55,8,-0.23,-0.31,-0.31,25.15,19.95,30.83,-2.125692669075792
