lat,lon,d_tx30_pend_decada,d_tx30_salto_21_25,d_tx32_pend_decada,d_tx32_salto_21_25,tx_p99_pend_decada,tx_p99_salto_21_25,tx_verano_pend_decada,tx_verano_salto_21_25,noches_trop_pend_decada,noches_trop_salto_21_25,at_p99_pend_decada,at_p99_salto_21_25
43.6,-7.3,0.32142857142857206,0.39999999999999997,0.0,0.0,-0.6306807654244455,-0.47829723358154297,0.32865176882063835,0.16433048248291016,-0.07142857142853405,-0.5,-0.2442891346044882,-0.11061522925763256
43.5,-8.2,0.7499999999999891,0.5,0.0,0.0,0.5078486033847877,0.5509752273559556,0.8013757978166745,0.5475193023681619,2.071428571428519,2.1,1.4909816076855253,1.3977968117552884
43.5,-8.1,1.0357142857142771,0.8999999999999999,0.0,0.0,0.8933512142725826,0.7555233001708999,1.032529762813005,0.7338125228881829,1.107142857142836,1.0999999999999999,1.7990415863186136,1.6686404459804507
43.5,-8.0,0.8214285714285442,0.5,-0.03571428571428693,-0.1,0.9563236917767628,0.6754430770874009,1.078081948416553,0.7431236267089822,0.4642857142857183,0.6,1.5490368834088888,1.3673826458924516
43.5,-7.9,1.107142857142816,0.7999999999999999,0.2857142857142873,0.30000000000000004,0.7530597959245373,0.454547500610353,1.0527581487382929,0.6976724624633803,0.4642857142857183,0.6,1.3077418305603803,1.0532274920090678
43.5,-7.8,1.1785714285713875,0.7,0.2142857142857143,0.2,0.6245920998709056,0.45163459777832315,1.0124617985316455,0.6551383972167955,0.0,0.0,1.3528494812163476,1.0008876936849447
43.5,-7.7,0.8214285714285221,0.5,0.4642857142857183,0.6,0.62120812279833,0.5519847869873047,0.9655263083321513,0.6173049926757805,0.0,0.0,1.5148901162116934,1.1145538793238927
43.5,-7.6,0.6428571428571082,0.4,0.7142857142857053,0.8,0.5843995639255627,0.490734481811522,0.9359107017516919,0.5963088989257805,0.0,0.0,1.239795569507651,0.8787015456263916
43.5,-7.5,0.6071428571428221,0.4,0.7142857142857053,0.8,0.19355705806183648,0.14972991943359304,0.7887781006949203,0.4803182601928704,0.0,0.0,0.9134751361225664,0.555566906676237
43.5,-7.4,0.4642857142856763,0.6,0.1785714285714302,0.2,-0.4365765707833614,-0.37172260284423686,0.5391696521214092,0.28142318725585724,0.0,0.0,0.487350138386661,0.19195553582844127
43.5,-7.3,0.42857142857138936,0.5,0.1785714285714302,0.2,-0.5227244922093135,-0.40480747222900604,0.48404237202236666,0.27355537414550923,0.17857142857142794,-0.09999999999999998,0.4005980195992631,0.19638707889979656
43.5,-7.2,0.892857142857115,0.8999999999999999,0.1785714285714302,0.2,-0.3120903287615146,-0.12006893157959198,0.5873357227870469,0.39393539428710866,-0.10714285714283207,-0.3,0.6603602070471244,0.47149521414410245
43.5,-7.1,1.0714285714285452,1.1,0.1785714285714302,0.2,-0.10502079554967658,0.017049980163573508,0.6845671789986814,0.4797103881835909,0.17857142857142794,-0.09999999999999998,1.0007178322918415,0.6559521023478041
43.4,-8.3,0.3928571428571368,0.20000000000000018,0.49999999999997885,0.4,0.362756388527956,0.4246456146240227,0.7110688345772764,0.46773433685302734,2.0714285714285285,1.8,1.3112696664715218,1.0357533498656437
43.4,-8.2,0.03571428571428951,-0.20000000000000018,0.21428571428569082,0.0,0.297750745500785,0.3174896240234375,0.7135789734976499,0.4531749725341818,1.5714285714285117,1.3000000000000003,1.2595798494998853,0.9329316290900564
43.4,-8.1,1.1785714285714084,0.8,0.2142857142856995,0.0,0.7229198047092373,0.4765008926391623,0.8477324077061041,0.5424966812133789,0.8571428571428495,1.0,1.5305426800569235,1.0397315319757432
43.4,-8.0,1.178571428571395,1.1,0.5357142857142737,0.39999999999999997,0.9801501546586622,0.5936920166015653,0.9980451720101233,0.6422704696655259,0.2857142857142881,0.4,1.7318278590679843,1.1546073979820903
43.4,-7.9,1.0714285714285143,0.8,0.6428571428571151,0.5,0.9580813135418998,0.5433084487915032,1.0922416959489807,0.7046043395996087,0.2857142857142881,0.4,1.7973787065260873,1.1162524828066296
43.4,-7.8,1.2499999999999325,0.6000000000000001,0.7857142857142596,0.7,0.7643284797667961,0.4818357467651353,1.1139442580086607,0.7172986984252923,0.14285714285714404,0.2,1.8273272362931225,1.1409986271846577
43.4,-7.7,0.9642857142856464,0.40000000000000013,0.6071428571428454,0.6000000000000001,0.64703430448255,0.457105064392092,1.061297961643745,0.6789834976196296,0.0,0.0,1.5732499152443915,1.0143514987323385
43.4,-7.6,0.6428571428570666,0.19999999999999996,0.6071428571428454,0.6000000000000001,0.6929746355328863,0.43979930877685547,1.0401278904505964,0.666636657714843,0.0,0.0,1.4343991296885785,0.8872593903214785
43.4,-7.5,0.9642857142856258,0.6000000000000001,0.8214285714285462,0.8,0.5422944341386615,0.35140571594238423,0.9842959812709113,0.6337976455688477,0.0,0.0,1.3025961080400452,0.7842973804301678
43.4,-7.4,0.24999999999996003,0.10000000000000009,0.571428571428538,0.7,0.4576300893510693,0.3184268951416023,0.9020282881600443,0.5844526290893555,0.0,0.0,1.2668145380293647,0.8395014608927838
43.4,-7.3,0.32142857142854503,0.30000000000000027,0.5357142857142503,0.5,0.3539742061069654,0.2181274414062493,0.8187638691493426,0.5433712005615234,0.0,0.0,1.275371399301572,0.8193617934906428
43.4,-7.2,0.6071428571428208,0.5000000000000002,0.9285714285714063,1.0,0.25138882228303094,0.129205513000489,0.8040550095694419,0.5490905761718743,-0.03571428571428693,-0.1,1.4557869065337934,0.978982220291229
43.3,-8.9,0.0,0.0,0.0,0.0,0.4148600442068522,0.6088863372802749,0.7627377510070672,0.5774003982543974,0.6428571428571478,0.7000000000000001,0.5203180235855007,0.5764260924596911
43.3,-8.7,0.0,0.0,0.0,0.0,0.5709025519234303,0.7203783035278342,0.840175696781694,0.648588943481446,0.3928571428571451,0.5,0.5848433240741774,0.6286189344539217
43.3,-8.6,0.03571428571428477,-0.2,0.0,0.0,0.9287013326371876,0.9793163299560526,0.8775133405412793,0.6698839187622063,0.2857142857142881,0.4,1.2414553324651183,1.217252746854637
43.3,-8.5,0.9285714285714203,0.8,0.0,0.0,1.1728916168212296,1.1587919235229514,0.934238433837872,0.7055610656738303,0.4642857142857183,0.6,1.762428517951077,1.6611319133595508
43.3,-8.4,1.428571428571429,1.4000000000000001,0.4285714285714159,0.2,1.2168440137590033,1.1473894119262695,0.9539925711495354,0.7057691574096694,0.7142857142857049,0.7000000000000001,2.0394178795673095,1.8072620462033626
43.3,-8.3,0.1071428571428596,0.10000000000000009,0.9642857142856996,0.9999999999999999,0.7389855384826056,0.679133415222168,0.8481269563947254,0.588074874877929,0.9285714285714052,0.8,1.5920386458928126,1.2897907259025914
43.3,-8.2,-0.5357142857143207,-0.5,0.9285714285714096,0.8,0.45563255037574185,0.3760160446166978,0.8111374037606203,0.5284263610839837,0.9285714285713835,0.8999999999999999,1.3355735630820453,0.8556732800556901
43.3,-8.1,0.14285714285711032,-0.19999999999999973,0.8214285714285599,0.7999999999999999,0.5982823371886645,0.3184978485107415,0.9128178187778779,0.5843215942382791,0.678571428571419,0.8,1.5121464592719067,0.8689991230553211
43.3,-8.0,1.2142857142856704,0.7999999999999998,0.39285714285712736,0.19999999999999996,0.9632985932485771,0.5425870895385749,1.0606183324541087,0.6845853805541999,0.2857142857142881,0.4,1.6544650399996121,0.9916188764820291
43.3,-7.9,1.428571428571368,0.6000000000000001,0.7857142857142585,0.6,1.1268933159963888,0.7017112731933572,1.1643456050327519,0.7619459152221673,0.2857142857142881,0.4,1.7535834750294979,1.101097627815772
43.3,-7.8,1.2142857142856447,0.6000000000000001,0.9999999999999741,0.7,1.080484390258732,0.7669170379638679,1.1684953825814068,0.7690034866333022,0.14285714285714404,0.2,1.8128173453401895,1.0995214574539247
43.3,-7.7,0.8928571428570469,0.6000000000000001,0.8214285714285234,0.7,0.8162329537527312,0.5751895904541016,1.115451131548177,0.7380817413330085,0.14285714285714404,0.2,1.8495167209335992,1.1326568535542343
43.3,-7.6,1.714285714285633,1.7000000000000002,1.0714285714285088,0.7,0.9092084339686233,0.5963743209838874,1.0772354262215527,0.7166862487792969,0.14285714285714404,0.2,1.6333411088873278,0.9930029656986434
43.3,-7.5,1.678571428571375,1.7000000000000002,1.0714285714285088,0.7,0.9104571342467658,0.5738473892211928,1.0130455834524825,0.674090957641603,0.0,0.0,1.4264262511366212,0.8667625062917104
43.3,-7.4,1.4999999999999187,1.2000000000000002,0.8214285714285234,0.7,0.8702966826302018,0.5803375244140625,0.9473356519426469,0.6216215133666978,0.0,0.0,1.2349263765649643,0.7670549833562283
43.3,-7.3,1.3571428571427935,1.2000000000000002,0.8928571428571179,0.7,0.8357569149561723,0.609383201599119,0.9491223607744386,0.638209342956543,0.0,0.0,1.297538483732197,0.8667161581275415
43.3,-7.2,0.8214285714285072,0.6000000000000001,0.8214285714285462,0.8,0.8487628528049523,0.6302783966064425,0.9761428833007666,0.6694213867187493,0.0,0.0,1.4176966549309342,0.9781797811438935
43.3,-7.1,0.6785714285713805,0.6000000000000001,0.9285714285714063,1.0,0.9089830262319855,0.6488515853881829,1.0657093865530698,0.7560394287109382,0.0,0.0,1.7081225394717583,1.278573389841803
43.2,-9.0,0.0,0.0,0.0,0.0,0.2129406247819805,0.36903953552246094,0.7498102188110218,0.5344007492065437,0.6785714285714186,0.7000000000000001,0.2916195922526143,0.568086638088861
