estacion,n_anios,anio_ini,anio_fin,d_tx30_sen_dec,d_tx30_p,d_tx30_salto,d_tx32_sen_dec,d_tx32_p,d_tx32_salto,d_tx35_sen_dec,d_tx35_p,d_tx35_salto,tx_p99_sen_dec,tx_p99_p,tx_p99_salto,tx_verano_sen_dec,tx_verano_p,tx_verano_salto,noches_trop_sen_dec,noches_trop_p,noches_trop_salto,tmean_sen_dec,tmean_p,tmean_salto,d_helada_sen_dec,d_helada_p,d_helada_salto,hx_p99_sen_dec,hx_p99_p,hx_p99_salto,d_hx35_sen_dec,d_hx35_p,d_hx35_salto,id,concello,provincia,lat,lon,alt
10100,16,2010,2025,13.667,0.2237,7.0,6.625,0.3186,4.25,3.333,0.1472,2.25,1.4,0.2281,0.78,1.338,0.116,0.54,1.429,0.0171,1.62,0.92,0.0033,0.64,-10.955,0.0506,-6.75,4.338,0.0005,2.76,14.0,0.0704,11.25,10100,QUIROGA,Lugo,42.492397,-7.275823,697.0
10101,16,2010,2025,2.222,0.2016,1.75,1.909,0.1168,1.38,0.0,0.1334,0.38,1.655,0.116,1.05,1.082,0.0641,0.46,0.0,0.269,0.12,0.977,0.0086,0.6,-7.75,0.0374,-7.0,3.017,0.0255,2.15,4.444,0.3896,3.88,10101,FRIOL,Lugo,43.0374,-7.892649,731.0
10102,16,2010,2025,6.19,0.4692,3.0,5.278,0.4982,2.5,2.5,0.1447,2.0,1.328,0.1653,0.75,1.129,0.2281,0.42,0.955,0.2231,1.38,0.672,0.1653,0.34,-7.136,0.0687,-2.0,2.645,0.0255,1.78,10.0,0.0947,10.38,10102,FOLGOSO DO COUREL,Lugo,42.59468,-7.192392,777.0
10103,16,2010,2025,-0.774,0.0754,-0.5,0.0,0.2352,-0.38,0.0,,0.0,-1.518,0.1949,-0.86,-0.279,0.7566,-0.22,0.0,0.2352,0.5,0.376,0.4503,0.22,1.181,0.4643,1.25,-2.279,0.3057,-1.23,-3.333,0.2553,-2.25,10103,FOZ,Lugo,43.558243,-7.278138,73.0
10104,16,2010,2025,1.0,0.0737,0.88,0.0,0.0946,0.5,0.0,,0.0,0.568,0.5056,-0.08,0.363,0.5643,0.08,0.0,0.9583,0.12,0.558,0.0413,0.41,-0.385,0.0572,-2.12,1.665,0.096,1.14,2.614,0.1115,1.5,10104,VIVEIRO,Lugo,43.660763,-7.562965,545.0
10105,16,2010,2025,2.404,0.2953,1.0,0.0,0.747,0.38,0.0,0.0677,0.38,0.953,0.6901,0.39,0.525,0.5643,0.05,0.0,0.5254,0.0,0.827,0.0086,0.47,-8.0,0.0522,-6.25,1.93,0.265,1.21,0.0,0.928,2.25,10105,POL,Lugo,43.162598,-7.282577,647.0
10106,16,2010,2025,2.25,0.3186,0.75,0.357,0.2806,0.62,0.333,0.0323,0.62,1.029,0.2281,0.18,1.734,0.0046,1.0,0.0,0.9136,-0.12,1.674,0.0,1.24,-3.636,0.3909,-5.62,1.512,0.3057,0.39,8.194,0.0858,6.0,10106,A PONTENOVA,Lugo,43.339153,-7.168036,490.0
10107,16,2010,2025,2.614,0.3166,1.88,1.833,0.2363,1.25,0.0,0.3645,0.25,1.391,0.0517,1.12,0.909,0.0641,0.32,0.0,,0.0,0.954,0.0024,0.57,-13.205,0.0333,-8.5,4.16,0.0198,3.51,5.5,0.1027,5.88,10107,GUITIRIZ,Lugo,43.14569,-7.791122,496.0
10108,16,2010,2025,2.361,0.4155,1.0,6.182,0.2065,3.5,2.929,0.2016,1.38,1.714,0.1949,1.05,1.216,0.0255,0.38,0.0,,0.0,1.113,0.0011,0.72,-10.833,0.1488,-6.75,6.003,0.0024,4.02,16.889,0.0269,8.0,10108,PORTOMARÍN,Lugo,42.813114,-7.620155,447.0
10109,16,2010,2025,5.635,0.3209,3.62,4.722,0.2576,2.38,1.429,0.254,1.75,0.842,0.3984,0.32,1.28,0.0517,0.58,0.801,0.0133,1.38,0.991,0.0017,0.58,-2.02,0.4373,-3.38,3.194,0.0413,2.11,11.111,0.0212,11.25,10109,AVIÓN,Ourense,42.414585,-8.238242,553.0
