lat,lon,tx_verano_clim,tx_verano_tend,tx_p99_clim,tx_p99_tend
42.198,-6.742,19.03,-0.101,25.48,-0.024
42.198,-6.675,20.95,0.023,27.44,0.118
42.199,-6.607,22.0,0.083,28.53,0.181
42.199,-6.54,22.04,0.081,28.59,0.184
42.218,-8.767,23.58,0.238,30.9,0.382
42.219,-8.7,24.86,0.253,32.41,0.428
42.221,-8.632,25.18,0.268,32.83,0.436
42.222,-8.565,25.9,0.273,33.49,0.434
42.224,-8.497,26.42,0.281,33.92,0.438
42.225,-8.43,25.54,0.286,33.23,0.449
42.227,-8.362,23.9,0.298,31.61,0.449
42.228,-8.295,23.5,0.297,31.07,0.445
42.229,-8.228,24.99,0.305,32.64,0.455
42.23,-8.16,26.78,0.292,34.17,0.446
42.232,-8.093,27.17,0.293,34.48,0.443
42.233,-8.025,26.81,0.302,34.23,0.441
42.234,-7.958,26.58,0.299,34.0,0.436
42.235,-7.89,26.63,0.3,34.04,0.439
42.236,-7.823,26.53,0.297,33.98,0.428
42.237,-7.755,26.26,0.301,33.67,0.411
42.238,-7.688,25.93,0.298,33.24,0.395
42.239,-7.62,25.29,0.277,32.48,0.379
42.24,-7.553,23.81,0.262,30.68,0.403
42.241,-7.485,22.59,0.201,29.26,0.373
42.242,-7.418,21.63,0.128,28.2,0.289
42.242,-7.35,21.0,0.075,27.54,0.234
42.243,-7.283,21.61,0.125,28.15,0.279
42.244,-7.215,23.88,0.227,30.47,0.394
42.245,-7.148,24.97,0.26,31.73,0.383
42.245,-7.08,25.22,0.256,31.91,0.392
42.246,-7.013,24.1,0.231,30.65,0.367
42.246,-6.945,22.76,0.151,29.28,0.305
42.247,-6.878,20.78,0.023,27.31,0.133
42.247,-6.81,18.63,-0.11,25.07,-0.036
42.248,-6.743,18.86,-0.115,25.3,-0.039
42.248,-6.675,20.77,0.004,27.29,0.097
42.248,-6.608,22.53,0.115,29.08,0.239
42.249,-6.54,22.97,0.154,29.52,0.274
42.266,-8.837,23.02,0.228,30.17,0.361
42.271,-8.634,24.93,0.26,32.49,0.426
42.272,-8.567,25.45,0.269,33.05,0.446
42.274,-8.499,25.67,0.282,33.29,0.443
42.275,-8.432,24.87,0.283,32.66,0.426
42.277,-8.364,23.15,0.285,30.76,0.451
42.278,-8.297,22.42,0.279,29.78,0.436
42.279,-8.229,23.83,0.295,31.42,0.437
42.28,-8.162,26.29,0.294,33.73,0.45
42.282,-8.094,27.38,0.287,34.59,0.449
42.283,-8.027,27.31,0.3,34.67,0.443
42.284,-7.959,27.06,0.302,34.45,0.437
42.285,-7.892,27.62,0.296,34.93,0.423
42.286,-7.824,27.75,0.294,35.09,0.425
42.287,-7.757,26.51,0.297,33.92,0.413
42.288,-7.689,25.32,0.277,32.65,0.385
42.289,-7.621,24.45,0.27,31.54,0.379
42.29,-7.554,23.69,0.262,30.6,0.388
42.291,-7.486,23.23,0.241,29.99,0.397
42.292,-7.419,22.76,0.209,29.42,0.384
42.292,-7.351,22.45,0.181,29.04,0.347
42.293,-7.284,23.33,0.216,29.97,0.392
42.294,-7.216,25.32,0.262,32.15,0.387
42.294,-7.149,26.17,0.266,33.17,0.354
42.295,-7.081,25.5,0.262,32.27,0.38
42.296,-7.013,23.8,0.232,30.37,0.377
42.296,-6.946,22.89,0.181,29.41,0.328
42.297,-6.878,22.27,0.117,28.78,0.269
42.297,-6.811,20.95,0.04,27.51,0.161
