lat,lon,tx_verano_clim,tx_verano_tend,tx_p99_clim,tx_p99_tend
43.499,-6.551,21.18,0.062,27.58,0.161
43.529,-8.273,22.33,0.191,27.05,0.227
43.53,-8.204,22.94,0.194,27.76,0.241
43.531,-8.135,22.94,0.188,28.14,0.252
43.532,-8.066,22.65,0.17,28.37,0.237
43.534,-7.997,22.15,0.161,28.43,0.23
43.535,-7.929,21.53,0.143,28.38,0.195
43.536,-7.86,20.81,0.123,28.14,0.169
43.537,-7.791,20.43,0.11,27.91,0.124
43.538,-7.722,20.28,0.104,27.75,0.118
43.539,-7.653,20.26,0.1,27.73,0.107
43.54,-7.584,20.11,0.091,27.61,0.1
43.541,-7.515,20.38,0.097,27.67,0.093
43.541,-7.447,21.38,0.122,27.78,0.133
43.542,-7.378,22.13,0.152,27.36,0.145
43.543,-7.309,22.11,0.158,26.9,0.161
43.544,-7.24,21.39,0.152,26.32,0.176
43.544,-7.171,21.37,0.147,26.32,0.178
43.545,-7.102,21.57,0.151,26.18,0.177
43.546,-6.964,21.88,0.142,26.37,0.168
43.547,-6.896,21.63,0.134,26.45,0.174
43.547,-6.827,21.55,0.126,26.48,0.173
43.548,-6.758,21.45,0.123,26.37,0.168
43.548,-6.689,21.45,0.114,26.52,0.176
43.548,-6.62,21.21,0.106,26.39,0.186
43.549,-6.551,20.96,0.106,25.98,0.175
43.58,-8.206,21.72,0.192,26.44,0.22
43.581,-8.137,22.34,0.187,27.39,0.228
43.582,-8.068,22.28,0.175,27.79,0.212
43.584,-7.999,22.05,0.169,27.9,0.214
43.585,-7.93,21.65,0.154,27.92,0.186
43.586,-7.861,21.05,0.133,27.93,0.152
43.587,-7.792,20.56,0.116,27.77,0.135
43.588,-7.723,20.69,0.118,27.75,0.12
43.589,-7.654,21.15,0.124,27.85,0.118
43.59,-7.586,21.12,0.114,27.88,0.111
43.59,-7.517,20.57,0.106,27.56,0.091
43.591,-7.448,20.72,0.112,27.29,0.106
43.592,-7.379,21.29,0.144,26.75,0.126
43.593,-7.31,21.43,0.16,25.92,0.175
43.631,-8.138,21.07,0.194,25.85,0.207
43.632,-8.07,21.71,0.175,27.19,0.199
43.634,-8.001,21.31,0.162,27.28,0.183
43.635,-7.932,21.37,0.158,27.35,0.169
43.636,-7.863,21.44,0.153,27.48,0.157
43.637,-7.794,21.1,0.142,27.46,0.142
43.638,-7.725,20.99,0.137,27.42,0.133
43.639,-7.656,21.42,0.141,27.5,0.129
43.64,-7.587,21.53,0.138,27.45,0.118
43.641,-7.518,20.89,0.125,27.1,0.113
43.641,-7.449,20.5,0.124,26.57,0.102
43.642,-7.38,20.99,0.141,26.18,0.133
43.682,-8.071,20.47,0.179,25.61,0.179
43.684,-8.002,20.51,0.159,26.4,0.166
43.685,-7.933,20.7,0.155,26.48,0.143
43.687,-7.795,21.32,0.161,26.56,0.13
43.688,-7.726,21.1,0.151,26.65,0.119
43.689,-7.657,21.14,0.147,26.61,0.123
43.69,-7.588,21.25,0.149,26.32,0.127
43.691,-7.519,21.33,0.153,26.21,0.141
43.691,-7.45,20.9,0.155,25.67,0.151
43.735,-7.935,20.1,0.165,25.26,0.14
43.736,-7.866,20.49,0.171,25.22,0.172
43.737,-7.796,20.34,0.173,24.82,0.178
43.738,-7.727,21.15,0.169,25.68,0.167
43.739,-7.658,20.83,0.165,25.48,0.156
43.74,-7.52,20.41,0.171,24.57,0.149
