fecha,tmax_media_galicia
2024-08-21,28.67
2024-08-22,25.54
2024-08-23,27.78
2024-08-26,27.78
2024-08-27,26.28
2024-08-28,25.67
2024-08-30,25.36
2024-09-01,25.19
2024-09-14,25.11
2024-09-15,26.97
2024-09-16,28.79
2025-05-28,27.35
2025-05-29,30.13
2025-05-30,26.93
2025-06-09,30.67
2025-06-10,28.29
2025-06-16,30.76
2025-06-17,32.72
2025-06-18,30.21
2025-06-19,27.52
2025-06-20,28.86
2025-06-23,29.57
2025-06-27,28.75
2025-06-28,32.42
2025-06-29,34.13
2025-06-30,32.52
2025-07-01,28.32
2025-07-04,30.13
2025-07-05,28.26
2025-07-08,29.2
2025-07-09,29.25
2025-07-15,29.5
2025-07-16,31.79
2025-07-26,27.96
2025-07-29,27.46
2025-07-30,28.25
2025-07-31,27.83
2025-08-01,27.37
2025-08-02,29.39
2025-08-03,32.35
2025-08-04,33.58
2025-08-05,30.83
2025-08-06,31.04
2025-08-07,31.61
2025-08-08,30.1
2025-08-09,31.15
2025-08-10,34.41
2025-08-11,32.25
2025-08-12,30.93
2025-08-13,28.61
2025-08-14,31.84
2025-08-15,31.32
2025-08-16,30.23
2025-08-17,28.04
2025-08-22,28.34
2025-08-23,30.39
2025-08-24,27.94
2025-08-25,28.59
2025-09-17,26.99
2025-09-18,27.96
2025-09-19,28.08
2026-05-21,26.0
2026-05-22,28.07
2026-05-23,25.92
2026-05-24,28.57
2026-05-25,28.21
2026-05-26,27.03
2026-05-27,30.29
2026-05-28,27.49
2026-05-29,25.04
2026-06-01,24.74
2026-06-11,27.82
2026-06-12,32.63
2026-06-13,32.92
2026-06-14,28.89
2026-06-15,25.26
2026-06-16,26.39
2026-06-17,28.49
2026-06-18,26.85
2026-06-19,25.74
2026-06-20,28.65
2026-06-21,32.02
2026-06-22,31.4
2026-06-23,33.4
2026-06-24,31.0
2026-06-26,24.68
2026-06-27,25.02
2026-06-29,26.77
2026-06-30,25.91
2026-07-01,25.5
2026-07-02,29.88
2026-07-03,32.48
2026-07-04,34.73
2026-07-05,35.64
2026-07-06,33.44
2026-07-07,27.9
2026-07-08,29.41
2026-07-09,27.6
2026-07-10,25.88
2026-07-11,31.7
2026-07-12,24.57
2026-07-14,25.67
2026-07-15,25.47
2026-07-16,24.64
2026-07-17,25.25
2026-07-18,27.12
2026-07-19,26.08
2026-07-20,26.33
2026-07-21,28.13
2026-07-22,28.14
2026-07-23,26.37
