id,concello,provincia,lat,lon,alt
10138,A VEIGA,Ourense,42.207813,-6.89256,1762.0
19037,A VEIGA,Ourense,42.211124,-6.991786,1217.0
10109,AVIÓN,Ourense,42.414585,-8.238242,553.0
10110,BALTAR,Ourense,41.94622,-7.708379,807.0
10113,BAÑOS DE MOLGAS,Ourense,42.23335,-7.629124,604.0
19042,CALVOS DE RANDÍN,Ourense,41.961655,-7.895386,890.0
10130,CARBALLEDA DE VALDEORRAS,Ourense,42.375187,-6.783357,1620.0
10204,CARBALLEDA DE VALDEORRAS,Ourense,42.340588,-6.765224,1280.0
19032,CASTRELO DE MIÑO,Ourense,42.31235,-8.066759,122.0
19033,CASTRO CALDELAS,Ourense,42.38756,-7.431971,469.0
10112,CELANOVA,Ourense,42.173622,-7.968152,623.0
19031,COLES,Ourense,42.42953,-7.836478,403.0
10111,ENTRIMO,Ourense,41.944828,-8.106171,763.0
19030,LAROUCO,Ourense,42.346,-7.153,522.0
19038,LAZA,Ourense,42.067226,-7.472491,575.0
19026,LEIRO,Ourense,42.359207,-8.118451,105.0
10057,MACEDA,Ourense,42.298744,-7.590657,981.0
10131,MANZANEDA,Ourense,42.26016,-7.298315,1758.0
10119,MUÍÑOS,Ourense,41.903606,-7.971908,1059.0
10148,OURENSE,Ourense,42.343487,-7.848846,143.0
10155,OURENSE,Ourense,42.353004,-7.877898,139.0
19039,RIÓS,Ourense,41.98036,-7.285618,839.0
10114,RUBIÁ,Ourense,42.46311,-6.929479,577.0
10117,SAN XOÁN DE RÍO,Ourense,42.393867,-7.297161,1026.0
10058,VERÍN,Ourense,41.97433,-7.398772,546.0
10500,VERÍN,Ourense,41.95301,-7.439182,392.0
10116,VIANA DO BOLO,Ourense,42.16304,-7.089615,851.0
19073,VILAMARTÍN DE VALDEORRAS,Ourense,42.420258,-7.02708,408.0
19040,VILARDEVÓS,Ourense,41.898197,-7.188015,778.0
10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
19027,XINZO DE LIMIA,Ourense,42.101776,-7.717683,616.0
19048,ARBO,Pontevedra,42.134094,-8.263586,187.0
10172,AS NEVES,Pontevedra,42.133602,-8.412954,681.0
10169,BAIONA,Pontevedra,42.1155,-8.837179,3.0
10126,BUEU,Pontevedra,42.382084,-8.936188,121.0
10905,BUEU,Pontevedra,42.3396,-8.833798,44.0
10127,CALDAS DE REIS,Pontevedra,42.595306,-8.618997,268.0
10906,CANGAS,Pontevedra,42.260456,-8.782575,3.0
10121,CERDEDO-COTOBADE,Pontevedra,42.467537,-8.502887,367.0
10133,CUNTIS,Pontevedra,42.675583,-8.586177,715.0
10163,FORCAREI,Pontevedra,42.610943,-8.370965,674.0
10086,FORNELOS DE MONTES,Pontevedra,42.315304,-8.400214,705.0
10061,LALÍN,Pontevedra,42.614384,-8.137295,500.0
10158,LALÍN,Pontevedra,42.656265,-8.107154,601.0
14005,MARÍN,Pontevedra,42.39707,-8.69362,4.0
19068,MEAÑO,Pontevedra,42.436275,-8.774661,97.0
19056,MEIS,Pontevedra,42.53713,-8.716114,52.0
19070,MEIS,Pontevedra,42.468124,-8.742008,256.0
10166,MONDARIZ,Pontevedra,42.246513,-8.454067,235.0
19069,O GROVE,Pontevedra,42.45738,-8.876006,9.0
10165,O PORRIÑO,Pontevedra,42.145294,-8.61188,41.0
19047,O ROSAL,Pontevedra,41.938732,-8.789739,47.0
10091,OIA,Pontevedra,41.99327,-8.864355,480.0
10175,PAZOS DE BORBÉN,Pontevedra,42.297,-8.527,273.0
10067,POIO,Pontevedra,42.458405,-8.722065,515.0
19072,PONTE CALDELAS,Pontevedra,42.39316,-8.506196,350.0
19045,PONTEAREAS,Pontevedra,42.180405,-8.524929,41.0
10064,PONTEVEDRA,Pontevedra,42.40924,-8.664094,52.0
10156,PONTEVEDRA,Pontevedra,42.425896,-8.643984,20.0
10154,REDONDELA,Pontevedra,42.3207,-8.601872,260.0
19066,RIBADUMIA,Pontevedra,42.497288,-8.763514,27.0
10122,RODEIRO,Pontevedra,42.579758,-7.933075,991.0
19054,SALCEDA DE CASELAS,Pontevedra,42.069332,-8.562408,92.0
19057,SALVATERRA DE MIÑO,Pontevedra,42.11854,-8.442646,150.0
10129,SANXENXO,Pontevedra,42.40308,-8.798792,34.0
10177,TOMIÑO,Pontevedra,42.01846,-8.673485,59.0
10060,TUI,Pontevedra,42.0786,-8.679444,484.0
10125,VIGO,Pontevedra,42.2139,-8.906,25.0
10142,VIGO,Pontevedra,42.225945,-8.713502,100.0
10161,VIGO,Pontevedra,42.169926,-8.686054,460.0
14001,VIGO,Pontevedra,42.24167,-8.727587,7.0
19050,VILA DE CRUCES,Pontevedra,42.77911,-8.318691,211.0
10085,VILANOVA DE AROUSA,Pontevedra,42.580074,-8.804707,3.0
19046,VILANOVA DE AROUSA,Pontevedra,42.539917,-8.784433,72.0
