ranking,lat,lon,provincia,dist_costa_km,indice_calor,score_calor,score_confort,n_anios,n_dias,d_tx28,d_tx30,d_tx32,d_tx35,d_tx38,tx_p99,tx_p999,tx_max,tx_verano,noches_trop,noches_18,tn_p99,olas_n,olas_dias,olas_largas_n,at_p99,at_max,d_at27,d_at30,d_at32,d_at35,at_verano,hx_p99,hx_max,d_hx30,d_hx35,d_hx40,wb_p99,wb_max,d_wb24,d_wb26,d_wb28,viento_medio,viento_verano,viento_dias_calidos,hi_p99,d_hi32,hr_verano,noches_bochorno,tmean,amplitud,d_helada,tn_p01,rango_anual
20,42.8,-6.9,Lugo,84.8,18.2,26.61585365853659,5.5564024390243905,15,5390,7.733333333333333,2.8,0.4666666666666667,0.0,0.0,29.504230499267578,32.150970458984375,33.046783447265625,21.523935317993164,0.0,1.1333333333333333,16.6076602935791,1.6666666666666667,6.6,0.26666666666666666,28.28619027527237,32.75858207978713,7.6,0.8666666666666667,0.2,0.0,19.78242728950097,31.130899400030938,34.49541685137959,7.333333333333333,0.0,0.0,19.019169760988127,22.106512130421873,0.0,0.0,0.0,2.0096938610076904,1.8688422441482544,1.7751290798187256,28.68137815073388,0.13333333333333333,50.84749835057959,0.0,9.544479370117188,8.706043243408203,65.86666666666666,-4.90770149230957,23.4310245513916
22,43.2,-8.9,A Coruña,7.2,18.3,19.756097560975608,16.089939024390244,15,5390,1.2666666666666666,0.0,0.0,0.0,0.0,26.278728485107422,29.384172439575195,29.972320556640625,20.443254470825195,0.26666666666666666,6.733333333333333,18.107616424560547,1.7333333333333334,6.4,0.3333333333333333,27.21730417812672,33.91659874766243,4.066666666666666,1.0666666666666667,0.26666666666666666,0.0,18.6955525607943,32.53610673176318,39.45790659184757,10.333333333333334,1.4,0.0,21.359590214569952,25.209373038578015,0.3333333333333333,0.0,0.0,4.976942539215088,4.56162166595459,3.514324426651001,26.278729248046872,0.06666666666666667,69.37629664056921,4.933333333333334,13.859212875366211,4.976191997528076,0.0,3.2834997177124023,13.865585327148438
22,42.3,-7.4,Ourense,107.2,18.3,26.676829268292686,5.66310975609756,15,5390,9.0,3.3333333333333335,0.4666666666666667,0.0,0.0,29.817472457885742,32.11822509765625,33.677642822265625,22.069551467895508,0.0,0.3333333333333333,15.998208999633789,1.6666666666666667,6.533333333333333,0.4,28.25796155782534,33.15723196810378,8.533333333333333,0.8,0.13333333333333333,0.0,20.237813207311067,31.4697415015508,35.586991004948516,9.066666666666666,0.06666666666666667,0.0,19.234997349009877,21.922388201003848,0.0,0.0,0.0,2.006446599960327,1.8574451208114624,1.7760415077209473,29.014422532273294,0.13333333333333333,49.27056657705152,0.0,9.868677139282227,9.138482093811035,61.46666666666667,-4.755067348480225,23.62335777282715
24,42.3,-6.9,Ourense,140.1,18.6,28.307926829268293,3.971036585365854,15,5390,10.466666666666667,4.066666666666666,0.4,0.0,0.0,30.082704544067383,32.03813934326172,33.307525634765625,22.289209365844727,0.0,1.0,16.813953399658203,1.6,6.6,0.26666666666666666,28.180505060784686,32.97621177506028,8.533333333333333,0.6,0.13333333333333333,0.0,20.372835636462554,31.03702449159024,34.303476050253465,6.666666666666667,0.0,0.0,18.519536706867918,21.93416009135427,0.0,0.0,0.0,1.6988774538040161,1.5896449089050293,1.5839446783065796,28.862323384825032,0.13333333333333333,46.2522381652794,0.0,9.633248329162598,8.836357116699219,66.86666666666666,-4.912247180938721,24.21293067932129
25,43.6,-7.5,Lugo,12.6,18.9,20.670731707317074,16.166158536585368,15,5390,2.066666666666667,0.8666666666666667,0.0,0.0,0.0,27.037853240966797,30.91571617126465,31.797760009765625,21.12970733642578,0.2,4.066666666666666,17.803049087524414,1.6666666666666667,6.533333333333333,0.4666666666666667,28.3381431218083,34.4804735244643,6.533333333333333,1.4666666666666666,0.6,0.0,19.924849431220824,33.06043067601488,39.12399848389236,12.266666666666667,0.9333333333333333,0.0,21.187495145467746,23.82882580783107,0.0,0.0,0.0,3.382810354232788,3.045072555541992,1.8269375562667847,27.632047971478908,0.26666666666666666,63.74626450532855,2.1333333333333333,13.051146507263184,6.002046585083008,0.06666666666666667,1.8128845691680908,16.37015724182129
26,42.2,-7.3,Ourense,115.7,19.5,29.54268292682927,4.535060975609756,15,5390,10.733333333333333,3.7333333333333334,0.5333333333333333,0.0,0.0,30.092628479003906,32.059749603271484,33.670806884765625,22.449445724487305,0.0,0.7333333333333333,16.399694442749023,1.6666666666666667,6.6,0.4666666666666667,28.20498835363615,33.29277117458095,8.733333333333333,0.6666666666666666,0.13333333333333333,0.0,20.476459116090044,31.19859187261871,34.94079041471302,7.533333333333333,0.0,0.0,18.6607340154174,21.39147515003202,0.0,0.0,0.0,1.9256682395935059,1.8167182207107544,1.7394975423812866,29.05233417794266,0.13333333333333333,46.791964549293276,0.0,9.928112983703613,9.113216400146484,61.266666666666666,-4.688025951385498,23.991317749023438
27,43.6,-7.4,Lugo,7.0,19.6,22.11890243902439,15.937500000000002,15,5390,1.6666666666666667,0.6,0.0,0.0,0.0,26.911785125732422,30.512187957763672,31.047760009765625,21.2425537109375,0.26666666666666666,6.733333333333333,18.184402465820312,1.7333333333333334,6.6,0.4,28.107172189641535,33.81561021558049,6.4,1.3333333333333333,0.3333333333333333,0.0,20.094398580652086,32.731566288910564,38.71263139150406,12.533333333333333,0.8666666666666667,0.0,21.146503988813436,23.738823272854425,0.0,0.0,0.0,3.5842466354370117,3.1676011085510254,1.997663140296936,27.489897096335866,0.13333333333333333,64.59141150812466,3.6,13.514705657958984,5.741733551025391,0.0,2.5714244842529297,15.78420639038086
28,43.6,-7.7,Lugo,12.5,19.7,20.06859756097561,19.085365853658537,15,5390,2.2,0.8666666666666667,0.06666666666666667,0.0,0.0,27.277786254882812,30.965953826904297,32.688385009765625,20.97560691833496,0.06666666666666667,4.066666666666666,17.829574584960938,1.7333333333333334,6.466666666666667,0.3333333333333333,28.626641483123397,35.068771879431424,6.0,1.6666666666666667,0.5333333333333333,0.06666666666666667,19.596388586077403,33.08350312636959,39.73371767289413,12.133333333333333,1.3333333333333333,0.0,21.205810523804463,24.472794968700544,0.13333333333333333,0.0,0.0,3.5954673290252686,3.3136746883392334,1.9761136770248413,27.883437234819024,0.26666666666666666,64.31619713439908,2.7333333333333334,12.9086275100708,5.957492828369141,0.13333333333333333,1.535516381263733,16.408538818359375
28,43.5,-7.4,Lugo,13.4,19.7,21.45579268292683,17.1875,15,5390,2.8,0.8,0.06666666666666667,0.0,0.0,27.625885009765625,31.27995491027832,32.187408447265625,21.079721450805664,0.0,2.2666666666666666,17.35381317138672,1.6666666666666667,6.666666666666667,0.5333333333333333,28.83598397712647,34.887004882077534,7.333333333333333,1.6666666666666667,0.6666666666666666,0.0,20.038592055967364,33.02514587829241,38.727586989866296,11.8,1.2,0.0,21.207025356061816,23.54441286554537,0.0,0.0,0.0,3.150988817214966,2.7758374214172363,1.5148444175720215,28.0544837219887,0.4,63.325339524701796,1.4,12.519448280334473,6.433322906494141,1.2,0.7657507061958313,17.10482406616211
30,43.5,-7.7,Lugo,22.2,19.9,21.006097560975608,18.246951219512194,15,5390,2.8666666666666667,0.8666666666666667,0.2,0.0,0.0,27.62085723876953,31.434329986572266,32.864166259765625,20.680877685546875,0.0,1.3333333333333333,17.082469940185547,1.6,6.533333333333333,0.4666666666666667,28.73098180780393,35.27653090786638,6.466666666666667,2.0,0.6,0.13333333333333333,19.426783140039745,33.25454013503914,39.41537889508551,11.533333333333333,1.6666666666666667,0.0,21.290575410625323,24.538860474383522,0.13333333333333333,0.0,0.0,3.2605772018432617,2.981363296508789,1.7707481384277344,28.04932968245175,0.3333333333333333,63.61670174511101,0.9333333333333333,11.982950210571289,6.505859375,3.533333333333333,0.04397827014327049,17.381908416748047
31,43.6,-7.9,A Coruña,9.7,20.0,19.51219512195122,20.678353658536587,15,5390,2.466666666666667,0.5333333333333333,0.06666666666666667,0.0,0.0,27.084190368652344,30.546899795532227,32.411041259765625,20.766218185424805,0.26666666666666666,6.266666666666667,18.0792179107666,1.6,6.066666666666666,0.4,28.31806589300903,35.72845153883964,5.533333333333333,1.8,0.6,0.13333333333333333,19.250187306059935,33.15172872040435,41.010622683045426,12.333333333333334,1.8666666666666667,0.06666666666666667,21.425643290459583,25.11212920425094,0.2,0.0,0.0,4.073526859283447,3.780127763748169,2.636279821395874,27.87147790928503,0.26666666666666666,66.35744236990021,4.066666666666666,13.228957176208496,5.401463985443115,0.0,2.6202306747436523,15.453401565551758
32,43.5,-8.1,A Coruña,12.7,20.3,16.989329268292686,25.190548780487802,15,5390,2.2666666666666666,0.6,0.0,0.0,0.0,27.292606353759766,30.512235641479492,31.911529541015625,20.873729705810547,0.4666666666666667,9.533333333333333,18.420814514160156,1.4666666666666666,5.6,0.26666666666666666,28.396717204567256,35.745672525077964,6.333333333333333,1.8666666666666667,0.6,0.06666666666666667,19.39776293855461,33.832464143168046,41.44065468119417,13.933333333333334,2.2666666666666666,0.06666666666666667,21.874117255760368,25.632107070387296,0.4666666666666667,0.0,0.0,4.431818962097168,4.009466648101807,3.0221941471099854,27.955680907101943,0.3333333333333333,67.24290296898918,6.933333333333334,13.640762329101562,5.234981536865234,0.0,2.932945489883423,15.004487037658691
33,42.1,-8.8,Pontevedra,4.5,20.4,23.917682926829272,15.228658536585368,15,5390,2.3333333333333335,0.4666666666666667,0.0,0.0,0.0,27.41980743408203,30.154510498046875,31.253814697265625,21.686107635498047,1.8,10.8,18.78654670715332,1.6,6.266666666666667,0.3333333333333333,27.590257142750787,32.744993474736624,5.2,0.6666666666666666,0.26666666666666666,0.0,20.50983498796374,32.828454121067054,38.067404688314134,16.8,0.7333333333333333,0.0,21.156134851640008,24.04258459222102,0.06666666666666667,0.0,0.0,4.126999855041504,3.7887184619903564,3.810666799545288,27.902918999667477,0.13333333333333333,65.76774483303068,6.2,14.250925064086914,5.750578880310059,0.06666666666666667,2.4972009658813477,15.434293746948242
33,43.5,-8.0,A Coruña,19.0,20.4,18.567073170731707,23.117378048780488,15,5390,2.8666666666666667,0.6666666666666666,0.06666666666666667,0.0,0.0,27.575101852416992,30.74871826171875,32.142486572265625,20.761188507080078,0.2,4.933333333333334,17.923160552978516,1.4666666666666666,5.933333333333334,0.3333333333333333,28.458426733478976,35.885113388341324,6.933333333333334,2.0,0.7333333333333333,0.06666666666666667,19.320909174474096,33.482088570757,41.14658973144504,13.066666666666666,2.2,0.06666666666666667,21.659807431814514,25.32791505609043,0.26666666666666666,0.0,0.0,4.051553249359131,3.6936330795288086,2.630810022354126,28.164426417842186,0.26666666666666666,65.97944203854915,3.466666666666667,12.995941162109375,5.649763107299805,0.06666666666666667,2.0297815799713135,15.845157623291016
35,43.4,-7.5,Lugo,26.7,20.5,19.146341463414636,22.4390243902439,15,5390,4.6,1.4,0.4666666666666667,0.0,0.0,28.629329681396484,32.51237487792969,34.158111572265625,20.95273208618164,0.0,0.5333333333333333,16.522550582885742,1.5333333333333334,5.933333333333334,0.4,29.531705357879176,36.65549811337169,8.533333333333333,3.066666666666667,0.9333333333333333,0.2,19.911432148164884,33.560409447761394,39.987861972052414,12.733333333333333,2.066666666666667,0.0,21.28522606338993,24.508371575043952,0.13333333333333333,0.0,0.0,2.7837319374084473,2.503201961517334,1.39577317237854,28.883109093045533,0.5333333333333333,61.52802488451017,0.4,11.468744277954102,7.296663284301758,11.666666666666666,-1.410186767578125,18.645755767822266
36,43.2,-8.6,A Coruña,12.8,20.8,20.327743902439025,21.501524390243905,15,5390,2.7333333333333334,0.6666666666666666,0.0,0.0,0.0,27.66657829284668,31.26498031616211,31.733306884765625,20.86062240600586,0.13333333333333333,2.8,17.481782913208008,1.6666666666666667,6.466666666666667,0.4666666666666667,28.60447042183932,35.007899439923975,6.466666666666667,1.8,0.6666666666666666,0.06666666666666667,19.386827827411732,33.692228046346195,40.550043199642104,14.333333333333334,2.066666666666667,0.13333333333333333,21.674388450666896,25.526040735324866,0.4666666666666667,0.0,0.0,4.095205307006836,3.7485082149505615,2.4919707775115967,28.00490896141777,0.4,65.60307362217274,2.066666666666667,13.005489349365234,6.2083892822265625,2.3333333333333335,0.41121459007263184,16.120880126953125
