idema,anio,n,tx_p99,tx_max,d_tx30,d_tx32,n_verano,tx_verano,tmed,nombre
1410X,2016,366,33.625000000000036,36.8,19.0,8.0,92,24.675000000000008,11.86448087431694,Sobrado
1410X,2017,365,32.508,36.5,12.0,6.0,92,23.858695652173914,12.227397260273973,Sobrado
1410X,2019,364,33.811,36.2,20.0,9.0,92,24.374999999999996,12.19697802197802,Sobrado
1410X,2020,366,35.105000000000004,36.5,31.0,16.0,92,24.929347826086957,13.048633879781418,Sobrado
1410X,2021,365,33.036,35.9,14.0,9.0,92,24.554347826086957,12.419178082191781,Sobrado
1410X,2022,361,33.44,37.1,19.0,11.0,91,24.653846153846153,12.852631578947369,Sobrado
1410X,2023,365,31.9,36.6,13.0,3.0,92,24.241304347826084,13.005479452054795,Sobrado
1410X,2024,366,31.835,32.5,8.0,2.0,92,23.852173913043476,12.655464480874318,Sobrado
1410X,2025,364,33.496,35.4,23.0,11.0,92,25.448913043478257,12.776648351648351,Sobrado
1428,1960,366,31.74000000000001,34.0,5.0,4.0,92,22.327173913043477,11.93224043715847,Santiago De Compostela Aeropuerto
1428,1961,365,32.54000000000002,36.0,12.0,5.0,92,23.703260869565216,13.160547945205478,Santiago De Compostela Aeropuerto
1428,1962,365,31.284000000000027,35.0,9.0,4.0,92,23.884782608695648,12.08904109589041,Santiago De Compostela Aeropuerto
1428,1963,365,31.5,33.2,8.0,1.0,92,21.981521739130436,11.735616438356164,Santiago De Compostela Aeropuerto
1428,1964,366,32.48000000000002,34.6,15.0,6.0,92,23.732608695652175,12.424043715846993,Santiago De Compostela Aeropuerto
1428,1965,363,31.876,33.5,6.0,4.0,92,22.76521739130435,12.02754820936639,Santiago De Compostela Aeropuerto
1428,1966,364,30.422000000000004,34.0,7.0,3.0,92,21.82282608695652,12.396703296703299,Santiago De Compostela Aeropuerto
1428,1967,365,30.6,33.5,5.0,3.0,92,23.545652173913048,12.160821917808219,Santiago De Compostela Aeropuerto
1428,1968,366,33.07000000000001,34.8,12.0,9.0,92,23.57608695652174,12.500546448087432,Santiago De Compostela Aeropuerto
1428,1969,365,34.072,34.8,13.0,6.0,92,24.097826086956527,11.992876712328766,Santiago De Compostela Aeropuerto
1428,1970,365,32.8,34.5,12.0,10.0,92,22.331521739130434,11.778630136986301,Santiago De Compostela Aeropuerto
1428,1971,365,31.0,32.6,8.0,2.0,92,21.193478260869565,11.835068493150683,Santiago De Compostela Aeropuerto
1428,1972,366,29.470000000000002,33.0,3.0,1.0,92,21.489130434782613,11.25792349726776,Santiago De Compostela Aeropuerto
1428,1973,365,31.432000000000016,33.4,9.0,4.0,92,23.573913043478264,12.183835616438355,Santiago De Compostela Aeropuerto
1428,1974,365,29.232000000000017,31.5,4.0,0.0,92,22.36304347826087,11.298356164383561,Santiago De Compostela Aeropuerto
1428,1975,365,29.344000000000005,32.2,3.0,1.0,92,22.969565217391303,11.89232876712329,Santiago De Compostela Aeropuerto
1428,1976,366,31.54000000000001,33.5,11.0,3.0,92,24.95,12.183060109289617,Santiago De Compostela Aeropuerto
1428,1977,365,27.68800000000001,31.8,2.0,0.0,92,19.72391304347826,11.837808219178081,Santiago De Compostela Aeropuerto
1428,1978,365,32.360000000000014,34.0,18.0,6.0,92,22.44347826086957,12.195342465753424,Santiago De Compostela Aeropuerto
1428,1979,365,32.74400000000001,34.4,17.0,7.0,92,24.184782608695652,12.226849315068494,Santiago De Compostela Aeropuerto
1428,1980,366,31.0,32.6,8.0,3.0,92,22.07391304347826,12.087158469945354,Santiago De Compostela Aeropuerto
1428,1981,365,35.6,36.0,18.0,8.0,92,24.517391304347825,12.851232876712329,Santiago De Compostela Aeropuerto
1428,1982,365,31.0,32.6,9.0,2.0,92,21.656521739130433,12.53945205479452,Santiago De Compostela Aeropuerto
1428,1983,365,30.144000000000005,33.0,5.0,2.0,92,22.119565217391305,12.645753424657533,Santiago De Compostela Aeropuerto
1428,1984,366,32.210000000000015,33.2,10.0,5.0,92,23.52391304347826,12.289890710382515,Santiago De Compostela Aeropuerto
1428,1985,365,33.072,35.0,17.0,8.0,92,23.036956521739125,12.778630136986301,Santiago De Compostela Aeropuerto
1428,1986,365,30.072000000000003,33.6,5.0,1.0,92,22.536956521739132,11.90958904109589,Santiago De Compostela Aeropuerto
1428,1987,365,32.672000000000004,36.0,18.0,9.0,92,23.867391304347827,13.125479452054792,Santiago De Compostela Aeropuerto
1428,1988,366,30.300000000000047,35.6,4.0,3.0,92,22.566304347826087,12.814207650273223,Santiago De Compostela Aeropuerto
1428,1989,365,32.0,34.8,15.0,6.0,92,25.40434782608696,13.964931506849315,Santiago De Compostela Aeropuerto
