n_dias,d_tx30,d_tx32,d_tx35,tx_p99,tx_max,tx_verano,noches_trop,tmean,d_helada,hx_p99,d_hx35,estacion,anio,id,concello,provincia,lat,lon,alt
365,5.0,1.0,0.0,30.1932,32.83,23.25326086956522,0.0,10.16427397260274,81.0,39.305542134899724,30.0,10048,2019,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
366,21.0,5.0,0.0,32.288000000000004,33.35,24.998260869565225,0.0,10.83603825136612,48.0,41.62101113939963,44.0,10048,2020,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
365,12.0,4.0,0.0,31.56880000000001,33.34,24.419456521739132,0.0,10.236561643835614,70.0,40.501421454108396,30.0,10048,2021,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
365,37.0,18.0,7.0,35.76,37.18,27.020000000000003,0.0,11.339054794520548,71.0,43.71498444075802,62.0,10048,2022,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
365,10.0,6.0,2.0,32.827200000000026,36.91,25.127934782608694,0.0,11.191972602739725,72.0,42.49216815669804,34.0,10048,2023,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
366,20.0,7.0,1.0,33.453500000000005,35.73,26.060434782608695,0.0,11.10900273224044,44.0,44.12732188155649,48.0,10048,2024,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
365,39.0,18.0,1.0,34.594,35.36,27.62695652173914,0.0,11.271397260273973,52.0,43.57833610947948,62.0,10048,2025,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
365,20.0,8.0,1.0,32.8896,35.1,25.1616304347826,7.0,15.655780821917807,0.0,41.361026958777316,34.0,10049,2010,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
365,5.0,2.0,0.0,30.994400000000006,33.0,22.538043478260875,2.0,15.724438356164384,0.0,39.56813199331899,16.0,10049,2011,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
366,5.0,0.0,0.0,30.22050000000001,31.76,21.65554347826087,0.0,14.535696721311476,0.0,38.82691005902821,19.0,10049,2012,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
365,17.0,9.0,1.0,33.3016,36.38,23.992717391304346,4.0,14.875602739726025,0.0,45.782806956524716,31.0,10049,2013,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
365,4.0,1.0,0.0,30.091200000000008,32.26,22.911195652173916,1.0,15.249287671232876,0.0,39.18967493764001,25.0,10049,2014,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
365,9.0,3.0,0.0,31.440000000000005,34.39,23.930326086956523,1.0,15.630534246575344,0.0,40.089996330277536,24.0,10049,2015,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
366,15.0,9.0,2.0,33.7105,39.03,25.51869565217391,3.0,15.587841530054645,0.0,43.21521624423057,34.0,10049,2016,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
365,10.0,5.0,2.0,32.244,38.2,24.788260869565207,1.0,15.805808219178079,0.0,41.322249082823,32.0,10049,2017,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
365,17.0,10.0,2.0,33.8768,35.64,24.476195652173914,6.0,15.358301369863012,0.0,44.16302498022797,36.0,10049,2018,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
365,4.0,1.0,0.0,29.70720000000001,33.42,23.279673913043478,1.0,15.172698630136987,0.0,37.66711163295377,19.0,10049,2019,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
366,14.0,6.0,2.0,33.23050000000001,35.35,24.663152173913044,2.0,15.817527322404372,0.0,42.547089403076576,36.0,10049,2020,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
365,5.0,4.0,0.0,31.94200000000001,33.94,23.456847826086964,2.0,15.437726027397261,0.0,41.401002063202355,21.0,10049,2021,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
365,16.0,9.0,3.0,34.622400000000006,37.04,25.569565217391304,3.0,16.30127397260274,0.0,43.322512357922754,41.0,10049,2022,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
365,5.0,1.0,0.0,30.33680000000001,34.64,24.625326086956523,0.0,16.294835616438355,0.0,41.13668387578549,26.0,10049,2023,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
366,8.0,2.0,0.0,31.6735,33.48,24.67510869565217,0.0,15.973032786885247,0.0,41.05702344276876,30.0,10049,2024,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
365,11.0,4.0,0.0,32.048400000000015,33.71,25.12565217391304,4.0,15.985027397260273,0.0,41.17639135731257,28.0,10049,2025,10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
363,3.0,2.0,0.0,29.712999999999997,32.25,23.425978260869567,0.0,14.764035812672176,2.0,39.77267123017386,27.0,10050,2010,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
365,8.0,3.0,1.0,31.2256,35.34,21.974891304347825,0.0,15.038849315068495,0.0,43.539898043532894,32.0,10050,2011,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
366,5.0,2.0,0.0,30.144000000000002,34.8,22.86076086956522,0.0,14.431147540983607,2.0,43.509812079261124,32.0,10050,2012,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
365,9.0,2.0,0.0,30.684400000000004,32.94,23.3975,1.0,14.494602739726028,0.0,42.7826947159861,34.0,10050,2013,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
365,3.0,1.0,0.0,29.478400000000004,32.0,23.11586956521739,0.0,15.039136986301369,1.0,41.72889799780487,33.0,10050,2014,10050,FERROL,A Coruña,43.491467,-8.252274,37.0
